file,n_traces,n_annotation_failed,median_coverage,share_under_90,share_under_70,spans_not_found,traces_with_out_of_order,traces_with_extra,used_in_report
results/annotations/deepseek_qwen/actions/alpha0.0.jsonl,298,0.0,1.0,0.010067114093959731,0.0,0.0,0.0,0.0,True
results/annotations/deepseek_qwen/actions/alpha0.05_aware.jsonl,298,0.0,1.0,0.010067114093959731,0.006711409395973154,0.0030526126773208835,0.0,0.0,True
results/annotations/deepseek_qwen/actions/alpha0.07_aware.jsonl,298,0.0,1.0,0.020134228187919462,0.010067114093959731,0.004543865781195386,0.0,0.0,True
results/annotations/deepseek_qwen/actions/alpha0.25.jsonl,298,0.0,1.0,0.006711409395973154,0.003355704697986577,0.0018779342723004694,0.0,0.0,True
results/annotations/deepseek_qwen/actions/alpha0.3.jsonl,298,0.0,1.0,0.006711409395973154,0.0,0.0,0.0,0.0,True
results/annotations/deepseek_qwen/actions/alpha0.35.jsonl,298,0.0,1.0,0.003355704697986577,0.0,0.00018835938971557733,0.0,0.0,True
results/annotations/deepseek_qwen/actions_sampling/alpha0.0.jsonl,298,0.0,1.0,0.003355704697986577,0.0,0.00038102495713469235,0.0,0.0,True
results/annotations/deepseek_qwen/actions_sampling/alpha0.07_aware.jsonl,298,0.0,1.0,0.006711409395973154,0.003355704697986577,0.0021909804637575314,0.0,0.0,True
results/annotations/deepseek_qwen/actions_sampling/alpha0.35.jsonl,176,0.0,1.0,0.005681818181818182,0.0,0.0,0.0,0.0,True
results/annotations/deepseek_qwen/harmbench/alpha0.0.jsonl,98,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False
results/annotations/deepseek_qwen/harmbench/alpha0.05_aware.jsonl,95,4.0,1.0,0.021052631578947368,0.010526315789473684,0.00395993477754484,0.0,0.0,False
results/annotations/deepseek_qwen/harmbench/alpha0.25.jsonl,96,3.0,1.0,0.020833333333333332,0.010416666666666666,0.0,0.0,0.0,False
